model,variant,score,outcome,primary,rows,event_dates,spearman,date_block_ci_low,date_block_ci_high,date_block_probability_nonpositive,date_block_p_one_sided,issuer_block_ci_low,issuer_block_ci_high,issuer_block_probability_nonpositive,issuer_block_p_one_sided,within_date_rank_correlation,within_date_permutation_p_one_sided,configuration_order,date_block_bh_q_all_64,issuer_block_bh_q_all_64,primary_model_bh_q_within_variant,primary_model_issuer_bh_q_within_variant
qwen3_4b,prefixless,last_cosine,abnormal_volume_h1,False,9304,137,0.1881763159890297,0.15326870328996575,0.2147653814377948,0.0,0.0004997501249375312,0.16615768015396967,0.20959974639390377,0.0,0.0004997501249375312,0.15672853602252418,,39,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,prefixless,mean_projection,abs_market_adjusted_return_h1,False,9335,137,0.04114185836856709,0.012187478060999657,0.06741610242206968,0.0035,0.00399800099950025,0.01902462763244563,0.06436752878076435,0.0,0.0004997501249375312,0.011431436968542612,,40,0.005950513115535255,0.0007438141394419069,,
qwen3_4b,prefixless,mean_projection,abs_market_adjusted_return_h2,False,9271,136,0.019601474529757662,-0.006298609653384313,0.04285144840067037,0.0675,0.06796601699150424,-0.0025166589146494085,0.04227028641159604,0.0485,0.04897551224387806,0.005440062248363072,,41,0.09456141494470156,0.0681398431219173,,
qwen3_4b,prefixless,mean_projection,parkinson_expansion_h1,False,9304,137,0.23962433225229998,0.20968392364001326,0.2644981179425599,0.0,0.0004997501249375312,0.21875915068501842,0.2605383822399518,0.0,0.0004997501249375312,0.18229233815783866,,42,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,prefixless,mean_projection,abnormal_volume_h1,False,9304,137,0.13326939967874143,0.1067148917331146,0.1562991189629018,0.0,0.0004997501249375312,0.11072691473569314,0.15675429470256932,0.0,0.0004997501249375312,0.07784610912128465,,43,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,prefixless,mean_cosine,abs_market_adjusted_return_h1,False,9335,137,0.006892978870793611,-0.020763688147747737,0.0318052335066558,0.3305,0.3308345827086457,-0.016362516579570163,0.029937253181422426,0.285,0.28535732133933034,-0.018352162833236534,,44,0.40718102487217933,0.35489947334025296,,
qwen3_4b,prefixless,mean_cosine,abs_market_adjusted_return_h2,False,9271,136,-0.013313972692379742,-0.03803094691335374,0.00928313577165482,0.873,0.8730634682658671,-0.03590384784439431,0.010762082105792532,0.8635,0.863568215892054,-0.024353462150359304,,45,0.8730634682658671,0.863568215892054,,
qwen3_4b,prefixless,mean_cosine,parkinson_expansion_h1,False,9304,137,0.20134387816188545,0.17142514740927947,0.22634576829436484,0.0,0.0004997501249375312,0.17993921575258623,0.2218129032627438,0.0,0.0004997501249375312,0.1497167706667392,,46,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,prefixless,mean_cosine,abnormal_volume_h1,False,9304,137,0.08775766298798839,0.06065762506108692,0.11048162784253517,0.0,0.0004997501249375312,0.06358883125242676,0.11217754831029568,0.0,0.0004997501249375312,0.03648799980234314,,47,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,company_prefix,last_projection,abs_market_adjusted_return_h1,True,9335,137,0.10364484485446618,0.07558879763519794,0.12722578855587066,0.0,0.0004997501249375312,0.08146683357372488,0.12534738767069875,0.0,0.0004997501249375312,0.07938947403968599,0.0004997501249375312,48,0.0007615239999048095,0.0007438141394419069,0.0009995002498750624,0.0009995002498750624
qwen3_4b,company_prefix,last_projection,abs_market_adjusted_return_h2,False,9271,136,0.08975167882410952,0.06691206474304383,0.11047175335887213,0.0,0.0004997501249375312,0.06706792410004447,0.11137751314781645,0.0,0.0004997501249375312,0.0743486348728183,,49,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,company_prefix,last_projection,parkinson_expansion_h1,False,9304,137,0.2047624486719635,0.1698702230317276,0.2355726722771587,0.0,0.0004997501249375312,0.1833665649567215,0.2260610709394482,0.0,0.0004997501249375312,0.18326264904861092,,50,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,company_prefix,last_projection,abnormal_volume_h1,False,9304,137,0.15979660844447158,0.1317127859104374,0.1852963665414984,0.0,0.0004997501249375312,0.13884582449984753,0.18174492397155215,0.0,0.0004997501249375312,0.13693285789471124,,51,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,company_prefix,last_cosine,abs_market_adjusted_return_h1,False,9335,137,0.1190699040269409,0.0897223190397761,0.14363197574452827,0.0,0.0004997501249375312,0.09793432983350205,0.14152342339960342,0.0,0.0004997501249375312,0.09063573890943347,,52,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,company_prefix,last_cosine,abs_market_adjusted_return_h2,False,9271,136,0.10271644597212254,0.07961335512805588,0.1232195467016089,0.0,0.0004997501249375312,0.07929886736209696,0.12458846518517772,0.0,0.0004997501249375312,0.08444515693668521,,53,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,company_prefix,last_cosine,parkinson_expansion_h1,False,9304,137,0.22496783993844585,0.1875908695129286,0.25483841405875135,0.0,0.0004997501249375312,0.2037326611168399,0.2467699700981521,0.0,0.0004997501249375312,0.19621134556464143,,54,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,company_prefix,last_cosine,abnormal_volume_h1,False,9304,137,0.18139146538005602,0.1513317843731718,0.2068961347132311,0.0,0.0004997501249375312,0.1605787796120085,0.20377641793042842,0.0,0.0004997501249375312,0.15273987637582423,,55,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,company_prefix,mean_projection,abs_market_adjusted_return_h1,False,9335,137,0.0722956933765715,0.041500889713165845,0.09791267453092245,0.0,0.0004997501249375312,0.04950433586048243,0.09461376832841485,0.0,0.0004997501249375312,0.03940795404204819,,56,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,company_prefix,mean_projection,abs_market_adjusted_return_h2,False,9271,136,0.050818977872729175,0.02516238341478258,0.07459189932791845,0.0,0.0004997501249375312,0.027754981027659116,0.07411235670291308,0.0,0.0004997501249375312,0.03432581983856651,,57,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,company_prefix,mean_projection,parkinson_expansion_h1,False,9304,137,0.27370326974601533,0.2423513716017589,0.29674004471814086,0.0,0.0004997501249375312,0.25391656421169234,0.2936712998722778,0.0,0.0004997501249375312,0.21260439653748583,,58,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,company_prefix,mean_projection,abnormal_volume_h1,False,9304,137,0.17155424754824136,0.14293970129318617,0.19595005786791106,0.0,0.0004997501249375312,0.14911005511314165,0.1958759919222605,0.0,0.0004997501249375312,0.11379468344168103,,59,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,company_prefix,mean_cosine,abs_market_adjusted_return_h1,False,9335,137,0.026839993125398223,-0.002624509622976191,0.053259237003056244,0.04,0.04047976011994003,0.004117685131443349,0.04986350800153398,0.008,0.00849575212393803,-0.0017091758242739953,,60,0.05887965108354913,0.012357457634818953,,
qwen3_4b,company_prefix,mean_cosine,abs_market_adjusted_return_h2,False,9271,136,0.006106311175256252,-0.020159679386120597,0.02883809138086826,0.321,0.3213393303348326,-0.017668962642133936,0.030794633229540763,0.288,0.28835582208895555,-0.007403275009947391,,61,0.4032493557142997,0.35489947334025296,,
qwen3_4b,company_prefix,mean_cosine,parkinson_expansion_h1,False,9304,137,0.22685939620930876,0.19578669701910298,0.2519023422146366,0.0,0.0004997501249375312,0.2053417936485103,0.24754081143857212,0.0,0.0004997501249375312,0.17047425464732902,,62,0.0007615239999048095,0.0007438141394419069,,
qwen3_4b,company_prefix,mean_cosine,abnormal_volume_h1,False,9304,137,0.11440760264842913,0.08607000494033523,0.13825299138772407,0.0,0.0004997501249375312,0.09059846982365553,0.1380685861682354,0.0,0.0004997501249375312,0.05942343125687545,,63,0.0007615239999048095,0.0007438141394419069,,
